clutch_code,treatment_code
IMG_CLT_20250514_01,IMG_TRT_022
IMG_CLT_20250520_01,IMG_TRT_022
IMG_CLT_20250521_01,IMG_TRT_023
IMG_CLT_20250522_01,IMG_TRT_013
IMG_CLT_20250527_01,IMG_TRT_013
IMG_CLT_20250527_02,IMG_TRT_023
IMG_CLT_20250528_01,IMG_TRT_024
IMG_CLT_20250528_02,IMG_TRT_013
IMG_CLT_20250530_01,IMG_TRT_023
IMG_CLT_20250602_01,IMG_TRT_025
IMG_CLT_20250604_01,IMG_TRT_025
IMG_CLT_20250605_01,IMG_TRT_025
IMG_CLT_20250606_01,IMG_TRT_013
IMG_CLT_20250609_01,IMG_TRT_013
IMG_CLT_20250611_01,IMG_TRT_025
IMG_CLT_20250612_01,IMG_TRT_026
IMG_CLT_20250614_01,IMG_TRT_013
IMG_CLT_20250616_01,IMG_TRT_013
IMG_CLT_20250617_01,IMG_TRT_025
IMG_CLT_20250618_01,IMG_TRT_025
IMG_CLT_20250623_01,IMG_TRT_025
IMG_CLT_20250623_02,IMG_TRT_025
IMG_CLT_20250624_01,IMG_TRT_027
IMG_CLT_20250624_02,IMG_TRT_013
IMG_CLT_20250626_01,IMG_TRT_025
IMG_CLT_20250714_01,IMG_TRT_028
IMG_CLT_20250721_01,IMG_TRT_029
IMG_CLT_20250721_02,IMG_TRT_030
IMG_CLT_20250723_01,IMG_TRT_031
IMG_CLT_20250726_01,IMG_TRT_032
IMG_CLT_20250731_01,IMG_TRT_032
IMG_CLT_20250801_01,IMG_TRT_032
IMG_CLT_20250804_01,IMG_TRT_033
IMG_CLT_20250804_02,IMG_TRT_023
IMG_CLT_20250807_01,IMG_TRT_034
IMG_CLT_20250811_01,IMG_TRT_023
IMG_CLT_20250814_01,IMG_TRT_023
IMG_CLT_20250815_01,IMG_TRT_035
IMG_CLT_20250818_01,IMG_TRT_036
IMG_CLT_20250818_02,IMG_TRT_023
IMG_CLT_20250819_01,IMG_TRT_037
IMG_CLT_20250820_01,IMG_TRT_038
IMG_CLT_20250822_01,IMG_TRT_039
IMG_CLT_20250822_02,IMG_TRT_023
IMG_CLT_20250822_03,IMG_TRT_023
IMG_CLT_20250825_01,IMG_TRT_040
IMG_CLT_20250825_02,IMG_TRT_033
IMG_CLT_20250825_03,IMG_TRT_041
IMG_CLT_20250826_01,IMG_TRT_042
IMG_CLT_20250827_01,IMG_TRT_040
IMG_CLT_20250902_01,IMG_TRT_043
IMG_CLT_20250902_02,IMG_TRT_044
IMG_CLT_20250903_01,IMG_TRT_043
IMG_CLT_20250905_01,IMG_TRT_030
IMG_CLT_20250908_01,IMG_TRT_023
IMG_CLT_20250909_01,IMG_TRT_030
IMG_CLT_20250912_01,IMG_TRT_030
IMG_CLT_20250915_01,IMG_TRT_030
IMG_CLT_20250915_02,IMG_TRT_030
IMG_CLT_20250917_01,IMG_TRT_030
IMG_CLT_20250919_01,IMG_TRT_030
IMG_CLT_20250923_01,IMG_TRT_030
IMG_CLT_20250924_01,IMG_TRT_030
IMG_CLT_20250930_01,IMG_TRT_023
IMG_CLT_20251001_01,IMG_TRT_045
IMG_CLT_20251001_02,IMG_TRT_046
IMG_CLT_20251005_01,IMG_TRT_023
IMG_CLT_20251007_01,IMG_TRT_023
IMG_CLT_20251007_02,IMG_TRT_023
IMG_CLT_20251007_03,IMG_TRT_023
IMG_CLT_20251008_01,IMG_TRT_047
IMG_CLT_20251009_01,IMG_TRT_023
IMG_CLT_20251013_01,IMG_TRT_023
IMG_CLT_20251013_02,IMG_TRT_023
IMG_CLT_20251016_01,IMG_TRT_048
IMG_CLT_20251017_01,IMG_TRT_023
IMG_CLT_20251020_01,IMG_TRT_030
IMG_CLT_20251020_02,IMG_TRT_030
IMG_CLT_20251021_01,IMG_TRT_023
IMG_CLT_20251021_02,IMG_TRT_023
IMG_CLT_20251022_01,IMG_TRT_049
IMG_CLT_20251022_02,IMG_TRT_030
IMG_CLT_20251022_03,IMG_TRT_050
IMG_CLT_20251027_01,IMG_TRT_051
IMG_CLT_20251028_01,IMG_TRT_030
IMG_CLT_20251104_01,IMG_TRT_030
IMG_CLT_20251108_01,IMG_TRT_052
IMG_CLT_20251108_02,IMG_TRT_023
IMG_CLT_20251110_01,IMG_TRT_053
