fish_code,birthday,genetic_background,line_building_stage,nickname,notes
FSH_LEGACY_korra_fish10_roi2,6/17/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish10_roi2; imaging_nickname=skittlez
FSH_LEGACY_korra_fish2_24hpf_roi1_brain,6/14/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_24hpf_roi1_brain; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish3_72hpf_roi2,10/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish6,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish6; imaging_nickname=skittles
FSH_LEGACY_korra_fish4,5/12/25,,,mem_histone,legacy dataset=korra; legacy_fish_label=fish4; imaging_nickname=mem_histone
FSH_LEGACY_aang_fish1_24hpf_roi3,10/5/25,,,mem_histone,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi3; imaging_nickname=mem_histone
FSH_LEGACY_korra_fish1_roi2,6/26/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish1_roi2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish4_48hpf_roi2,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_48hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish4_24hpf_roi1,10/20/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_24hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish5_roi1,6/11/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish5_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish3_24hpf_roi2,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_24hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish6_48hpf_roi1,9/15/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish6_48hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish3_72hpf_roi7,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi7; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_72hpf_roi2,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_72hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_72hpf_roi5,10/17/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish1_72hpf_roi5; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish1_roi1,10/9/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish1_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish2_48hpf_roi1,11/4/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish2_48hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish8_roi1,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish8_roi1; imaging_nickname=skittlez
FSH_LEGACY_aang_fish5_48hpf_roi1,11/4/25,,,mem_actin,legacy dataset=aang; legacy_fish_label=fish5_48hpf_roi1; imaging_nickname=mem_actin
FSH_LEGACY_aang_fish8_24hpf_roi1,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish8_24hpf_roi1; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish13_roi1,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish13_roi1; imaging_nickname=skittlez
FSH_LEGACY_aang_fish3_48hpf_roi3,10/8/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_48hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_48hpf_roi2,10/13/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_48hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish8,5/21/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish8; imaging_nickname=skittlez
FSH_LEGACY_aang_fish_48hpf_roi2,9/24/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish_48hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_96hpf_roi1,10/9/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish1_96hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish3_96hpf_roi1,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_96hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish10_24hpf_roi1,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish10_24hpf_roi1; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish1_72hpf_roi1,9/19/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_72hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish9,5/21/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish9; imaging_nickname=skittlez
FSH_LEGACY_korra_fish14_roi3,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish14_roi3; imaging_nickname=skittlez
FSH_LEGACY_aang_mito_roi2,7/21/25,,,72hpf_mrna_mSG_organelle_LLS-SIM,legacy dataset=aang; legacy_fish_label=mito_roi2; imaging_nickname=72hpf_mrna_mSG_organelle_LLS-SIM
FSH_LEGACY_aang_fish1_24hpf_roi6,9/23/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi6; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish1_48hpf_roi1,8/4/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_48hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish5_72hpf_roi1,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_72hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_24hpf_mem_mchilada_mito_mSG,8/7/25,,,mem_organelle,legacy dataset=aang; legacy_fish_label=fish3_24hpf_mem-mchilada_mito-mSG; imaging_nickname=mem_organelle
FSH_LEGACY_korra_fish7_roi2,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish7_roi2; imaging_nickname=skittlez
FSH_LEGACY_korra_fish2_48hpf_roi1_2,11/8/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_48hpf_roi1-2; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish2_72hpf_roi4,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish2_72hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish4_24hpf_roi3,10/20/25,,,mem-mito_v2,legacy dataset=aang; legacy_fish_label=fish4_24hpf_roi3; imaging_nickname=mem-mito_v2
FSH_LEGACY_korra_fish4_roi1,6/11/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish4_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish11_72hpf_roi1,6/6/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish11_72hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish6_48hpf_roi2,9/15/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish6_48hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish3_48hpf_roi2,11/10/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_48hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish5_24hpf_roi4,9/17/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish5_24hpf_roi4; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish5_24hpf_roi1,10/28/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish5_24hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish4_48hpf_roi6,9/15/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish4_48hpf_roi6; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish1_mem_sg_mito_msc3,7/14/25,,,mem_organelle,legacy dataset=korra; legacy_fish_label=fish1_mem_sg_mito_msc3; imaging_nickname=mem_organelle
FSH_LEGACY_aang_fish3_24hpf_roi2,11/4/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_24hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish2_72hpf_roi1,9/12/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish2_72hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish3_72hpf_roi11,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi11; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish3_72hpf_roi5,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_72hpf_roi5; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish2_24hpf_roi2,10/20/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish2_24hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_24hpf_roi1,10/20/25,,,mito_mem-halo,legacy dataset=aang; legacy_fish_label=fish3_24hpf_roi1; imaging_nickname=mito_mem-halo
FSH_LEGACY_aang_fish1_24hpf_roi1_test,10/16/25,,,nuclear_envelope,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi1_test; imaging_nickname=nuclear_envelope
FSH_LEGACY_aang_fish1_120hpf_roi2,10/21/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish1_120hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish6_roi1,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish6_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish1_48hpf_roi1,10/13/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_48hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish1,5/12/25,,,mem_histone,legacy dataset=korra; legacy_fish_label=fish1; imaging_nickname=mem_histone
FSH_LEGACY_aang_fish3_48hpf_roi1,10/8/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_48hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish10_roi1,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish10_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish12_roi2,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish12_roi2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish12_24hpf_roi3,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish12_24hpf_roi3; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish5_24hpf_roi1,11/4/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_24hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish2_72hpf_roi3,9/19/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish2_72hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish2_48hpf_roi4,9/24/25,,,mrna_mito-mSG_mem-mChilada,legacy dataset=aang; legacy_fish_label=fish2_48hpf_roi4; imaging_nickname=mrna_mito-mSG_mem-mChilada
FSH_LEGACY_aang_fish4_24hpf_roi2,10/27/25,,,mem-mito_v2,legacy dataset=aang; legacy_fish_label=fish4_24hpf_roi2; imaging_nickname=mem-mito_v2
FSH_LEGACY_aang_fish3_24hpf_roi6,9/23/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_24hpf_roi6; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_24hpf_roi5,8/18/25,,,mem_ER,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi5; imaging_nickname=mem_ER
FSH_LEGACY_korra_fish12,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish12; imaging_nickname=skittles
FSH_LEGACY_aang_fish2_24hpf_roi3,9/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish2_24hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish6_24hpf_roi2,10/20/25,,,mem_histone,legacy dataset=aang; legacy_fish_label=fish6_24hpf_roi2; imaging_nickname=mem_histone
FSH_LEGACY_aang_fish2_48hpf_roi2,7/21/25,,,mrna_mito-mSG_mem-mChilada,legacy dataset=aang; legacy_fish_label=fish2_48hpf_roi2; imaging_nickname=mrna_mito-mSG_mem-mChilada
FSH_LEGACY_aang_fish1_24hpf_roi1,10/27/25,,,er-mSG_mem-mChilada,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi1; imaging_nickname=er-mSG_mem-mChilada
FSH_LEGACY_aang_fish1_24hpf_roi1_2,8/27/25,,,mem_actin,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi1-2; imaging_nickname=mem_actin
FSH_LEGACY_korra_fish1_72hpf,4/26/25,,,mem_histone,legacy dataset=korra; legacy_fish_label=fish1_72hpf; imaging_nickname=mem_histone
FSH_LEGACY_korra_fish7_roi3,6/17/25,,,skittlez_Chris_x_Liam,legacy dataset=korra; legacy_fish_label=fish7_roi3; imaging_nickname=skittlez_Chris_x_Liam
FSH_LEGACY_aang_fish1_roi2,7/21/25,,,mrna_mito-mSG_mem-mChilada,legacy dataset=aang; legacy_fish_label=fish1_roi2; imaging_nickname=mrna_mito-mSG_mem-mChilada
FSH_LEGACY_aang_fish6_24hpf_roi3,9/5/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish6_24hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_72hpf_roi3,10/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_72hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish4_48hpf_roi3,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_48hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish2_72hpf_roi1,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_72hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish3,5/12/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish3; imaging_nickname=skittlez
FSH_LEGACY_aang_fish3_24hpf_roi5,9/23/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_24hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_24hpf_roi4,8/18/25,,,mem-halo_er-mSG,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi4; imaging_nickname=mem-halo_er-mSG
FSH_LEGACY_korra_fish2_72hpf_roi2,10/13/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_72hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish3_48hpf,7/21/25,,,mem-halo_ER-mSG,legacy dataset=korra; legacy_fish_label=fish3_48hpf; imaging_nickname=mem-halo_ER-mSG
FSH_LEGACY_korra_fish2_72hpf_roi3,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_72hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish7_24hpf_roi4,9/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish7_24hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish10_roi3,6/17/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish10_roi3; imaging_nickname=skittlez
FSH_LEGACY_aang_fish3_72hpf_roi10,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi10; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish7_roi1,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish7_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish3_48hpf_roi1_test,10/5/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_48hpf_roi1_test; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish2_96hpf_roi2,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_96hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish1_72hpf_roi4,10/17/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_72hpf_roi4; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish14_roi1,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish14_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish3_48hpf_roi2_test,10/5/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_48hpf_roi2_test; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish3_96hpf_roi3,10/9/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_96hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_aang_20251029_mem_histone,,,,20251029_mem-histone,legacy dataset=aang; legacy_fish_label=20251029_mem-histone; imaging_nickname=
FSH_LEGACY_aang_fish8_24hpf_roi3,9/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish8_24hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish8_24hpf_roi5,9/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish8_24hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish8_24hpf_roi2,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish8_24hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish3_72hpf_roi2,10/13/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_72hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish13,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish13; imaging_nickname=skittles
FSH_LEGACY_korra_fish5_24hpf_roi2,10/28/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish5_24hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish4_24hpf_roi4,10/20/25,,,mem-mito_v2,legacy dataset=aang; legacy_fish_label=fish4_24hpf_roi4; imaging_nickname=mem-mito_v2
FSH_LEGACY_aang_fish11_24hpf_roi1,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish11_24hpf_roi1; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish3_120hpf_roi5,10/21/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_120hpf_roi5; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish3_96hpf_roi1,10/9/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_96hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish4_48hpf_roi1,11/10/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish4_48hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish4_mem_halo_48hpf,4/28/25,,,mem_cytosol,legacy dataset=korra; legacy_fish_label=fish4_mem-halo_48hpf; imaging_nickname=mem_cytosol
FSH_LEGACY_korra_fish3_72hpf_roi1,7/31/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_72hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish8_roi2,6/26/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish8_roi2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish7_24hpf_roi2,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish7_24hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish5_72hpf_roi3,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_72hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish4_72hpf_roi1,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_72hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish2,5/20/25,,,mem_histone,legacy dataset=korra; legacy_fish_label=fish2; imaging_nickname=mem_histone
FSH_LEGACY_korra_fish6_roi3,6/23/25,,,skittlez_Chris_x_Liam,legacy dataset=korra; legacy_fish_label=fish6_roi3; imaging_nickname=skittlez_Chris_x_Liam
FSH_LEGACY_korra_fish14,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish14; imaging_nickname=skittles
FSH_LEGACY_aang_fish5_72hpf_roi2,9/19/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_72hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish4_24hpf_roi1,6/6/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish4_24hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish1_roi1_2,5/28/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_roi1-2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish1_48hpf_roi2,11/8/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_48hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish15_roi3,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish15_roi3; imaging_nickname=skittlez
FSH_LEGACY_korra_fish1_96hpf_roi0_test,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_96hpf_roi0_test; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish9_24hpf_roi2,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish9_24hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish3_72hpf_roi4,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_72hpf_roi1,10/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_72hpf_roi7,9/19/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_72hpf_roi7; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_72hpf_roi6,9/12/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi6; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish2_24hpf_roi1,10/28/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_24hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish4_24hpf_mem_mito_msc3_er_halo,7/14/25,,,mem_organelle,legacy dataset=korra; legacy_fish_label=fish4_24hpf_mem_mito_msc3_er_halo; imaging_nickname=mem_organelle
FSH_LEGACY_aang_fish5_48hpf_roi2,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_48hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish9_roi2,6/2/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish9_roi2; imaging_nickname=skittlez
FSH_LEGACY_korra_fish1_48hpf_roi4,11/4/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish1_48hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_120hpf_roi1,10/21/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_120hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish1_72hpf_roi6,9/19/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish1_72hpf_roi6; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish3_96hpf_roi2,10/9/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_96hpf_roi2; imaging_nickname=mem-histone
