line_nickname,birthday,genetic_background,instance_stage,transgene_base_code,allele_nickname,zygosity,created_by,description
Isaac (F2 of allele 314),11/20/24,casper,F2,pDQM063,314,unknown,,from imaging worksheet
Jim (F2 of allele 316),2/25/25,casper,F2,pDQM059,316,unknown,,from imaging worksheet
Dennis (F2 of allele 318),10/1/24,casper,F2,pDQM036,318,unknown,,from imaging worksheet
Ken (F2 of allele 320),2/25/25,casper,F2,pDQM059,320,unknown,,from imaging worksheet
Liam (F2 of allele 321),11/3/24,casper,F2,pDQM059,321,unknown,,from imaging worksheet
mem-tdmSG-8m-F2,4/17/25,casper,F2,pDQM005,301,unknown,dqm,"multiple alleles, selected brightest, check for homozygosity"
mem-tdmSG-11m-F2,3/3/25,casper,F2,pDQM005,302,unknown,dqm,"multiple alleles, selected brightest, check for homozygosity"
mem-tdmSG-8m,8/16/24,casper,founder,pDQM005,301,unknown,dqm,"multiple alleles, male founder #8"
mem-tdmSG-11m,8/16/24,casper,founder,pDQM005,302,unknown,dqm,"multiple alleles, male founder #11"
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),8/16/24,casper,P0,pDQM005,301,unknown,dqm,tol2
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),8/16/24,casper,P0,pDQM005,302,unknown,dqm,tol2
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),8/16/24,casper,P0,pDQM005,303,unknown,dqm,tol2
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),8/16/24,casper,P0,pDQM005,305,unknown,dqm,tol2
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),8/16/24,casper,P0,pDQM005,305,unknown,dqm,tol2
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),8/16/24,casper,P0,pDQM005,306,unknown,dqm,tol2
skittlez 4 FP (ef1a:<cryaa:mSc>mKate2/Electra2/mKOK/mTFP1),10/1/24,casper,P0,pDQM036,318,unknown,dqm,tol2
skittlez 4 FP (ef1a:<cryaa:mSc>mKate2/Electra2/mKOK/mTFP1),10/1/24,casper,P0,pDQM036,319,unknown,dqm,tol2
skittlez 5 FP (ef1a:<exorH:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1),11/20/24,casper,P0,pDQM063,311,unknown,dqm,tol2
skittlez 5 FP (ef1a:<exorH:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1),11/20/24,casper,P0,pDQM063,312,unknown,dqm,tol2
skittlez 5 FP (ef1a:<exorH:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1),11/20/24,casper,P0,pDQM063,313,unknown,dqm,tol2
skittlez 5 FP (ef1a:<exorH:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1),11/20/24,casper,P0,pDQM063,314,unknown,dqm,tol2
membrane tandem mSG; mChilada H2B (ef1a:2xlynk:tdmSG-tPT2A:tdmChilada:H2B),11/25/24,casper,P0,pDQM065,338,unknown,dqm,tol2
membrane tandem mSG: mChilada H2B (ef1a:2xLynk:tdmSG:tPT2A:tdmChilada-MAGPV:H2B),1/7/25,casper,P0,pDQM094,339,unknown,dqm,tol2
inducible phiC (hsp:phiCNLS; exorh:mScarlet),2/22/25,casper,P0,pDQM112,322,unknown,dqm,tol2
inducible phiC (hsp:phiCNLS; exorh:mScarlet),2/22/25,casper,P0,pDQM112,323,unknown,dqm,tol2
skittlez 4 FP (ef1a:<exorH:GFP>mKate2/Electra2/mKOK/mTFP1),2/25/25,casper,P0,pDQM059,320,unknown,dqm,tol2
skittlez 4 FP (ef1a:<exorH:GFP>mKate2/Electra2/mKOK/mTFP1),2/25/25,casper,P0,pDQM059,321,unknown,dqm,tol2
skittlez 5 FP (ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1),2/26/25,casper,P0,pDQM034,309,unknown,dqm,tol2
skittlez 5 FP (ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1),2/26/25,casper,P0,pDQM034,310,unknown,dqm,tol2
tandem mScarlet3-S2 H2B (ef1a-ext:tdmSc3s2:H2B),4/8/25,casper,P0,pDQM133,324,unknown,dqm,tol2
membrane tandem mStayGold; tandem mScarlet3-S2 histone (ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B),4/18/25,casper,P0,pDQM125,,unknown,dqm,tol2
membrane tandem mStayGold; tandem mScarlet3-S2 Histone (ef1a-ext::2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B),4/21/25,casper,P0,pDQM132,,unknown,dqm,tol2
membrane tandem mChilada (ef1a:2xLynk:tdmChilada),4/22/25,casper,P0,pDQM082,315,unknown,dqm,tol2
skittlez 5 FP (ef1a-ext:<mem:mSG>Halo/Electra2/mBeRFP/mScarlet3S2/mTFP1),4/22/25,casper,P0,pDQM137,329,unknown,dqm,tol2
skittlez 5 FP (ef1a-ext:<mem:mSG>Halo/Electra2/mBeRFP/mScarlet3S2/mTFP1),4/22/25,casper,P0,pDQM137,330,unknown,dqm,tol2
skittlez 5 FP (ef1a-ext:<mem:mSG>Halo/Electra2/mBeRFP/mScarlet3S2/mTFP1),4/22/25,casper,P0,pDQM137,331,unknown,dqm,tol2
skittlez 5 FP (ef1a-ext:<mem:mSG>Halo/Electra2/mBeRFP/mScarlet3S2/mTFP1),4/22/25,casper,P0,pDQM137,332,unknown,dqm,tol2
skittlez 5 FP (ef1a-ext:<mem:mSG>Halo/Electra2/mBeRFP/mScarlet3S2/mTFP1),4/22/25,casper,P0,pDQM137,333,unknown,dqm,tol2
membrane tandem mScarlet3-S2 (ef1a-ext:2x:Lynk:tdmScarlet3S2),4/27/25,casper,P0,pDQM136,325,unknown,dqm,tol2
membrane tandem mScarlet3-S2 (ef1a-ext:2x:Lynk:tdmScarlet3S2),4/28/25,casper,P0,pDQM136,327,unknown,dqm,tol2
skittlez 5 FP (ef1a-ext:<mem:mSG>Halo/Electra2/mBeRFP/mScarlet3S2/mTFP1),5/18/25,casper,P0,pDQM137,337,unknown,dqm,Meganuclease
Mito mScarlet3S2 (ef1a-extended-2Xcox8A-linker-mScarlet3S2-SV40-attb-tol2),7/25/25,casper,P0,MGCO-35,336,unknown,dqm,tol2
membrane tandem mScarlet3-S2 (A2UCOE-ef1a-ext:2x:Lynk:tdmScarlet3S2),8/2/25,casper,P0,pMNM002,342,unknown,dqm,tol2-nanos
mStayGold CDT1 (G0/G1 Fucci marker) (ef1a-ext:mSG:CDT1),8/10/25,casper,P0,pDQM151,341,unknown,dqm,tol2
mStayGold CDT1 (G0/G1 Fucci marker) (ef1a-ext:mSG:CDT1),8/10/25,casper,P0,pDQM151,341,unknown,dqm,tol2
membrane tandem mScarlet3-S2 (p24b;ef1a-ext:2x:Lynk:tdmScarlet3S2),8/14/25,casper,P0,pJWL001,343,unknown,dqm,phiC; p24b
